,GOTSeason,GOTCharacter,COUNTCharacters
0,Season3,moro,121
1,Season6,wildling,115
2,Season4,lem,2204
3,Season5,jeor,3
4,Season6,daena,39
5,Season1,davos,2
6,Season6,child,428
7,Season6,mance,236
8,Season4,simon,113
9,Season5,biter,42
10,Season1,spice,6
11,Season2,loras,8
12,Season3,robert,299
13,Season4,sam,1128
14,Season4,tywin,120
15,Season4,orson,2
16,Season5,ludd,2
17,Season1,ch,32062
18,Season3,smiling,31
19,Season6,morgan,34
20,Season4,hizdahr,3
21,Season5,high,751
22,Season5,lady,488
23,Season5,damien,1
24,Season5,smitty,1
25,Season1,stiv,84
26,Season1,petyr,6
27,Season2,polliver,2
28,Season4,shepherd,4
29,Season4,waif,1
30,Season1,elissa,24
31,Season3,walda,28
32,Season3,elyo,10
33,Season3,dornish,7
34,Season3,doreah,1
35,Season5,margaery,173
36,Season5,ethan,37
37,Season3,theon,1255
38,Season6,elia,110
39,Season6,simpson,12
40,Season5,septon,2
41,Season1,shae,8
42,Season2,ros,3026
43,Season3,walder,20
44,Season6,aron,372
45,Season4,styr,6
46,Season5,gordy,1
47,Season5,hodor,340
48,Season5,rickon,11
49,Season2,alys,38
50,Season2,robb,195
51,Season3,catelyn,74
52,Season3,aggar,9
53,Season6,tortured,12
54,Season6,baelor,4
55,Season4,nights,805
56,Season2,xaro,2
57,Season3,dongo,9
58,Season3,lastdragon,2
59,Season4,harlen,3
60,Season6,aenys,1
61,Season5,stannis,442
62,Season5,rast,133
63,Season2,joffrey,455
64,Season3,master,396
65,Season3,arthur,29
66,Season6,monica,11
67,Season5,rorge,1
68,Season1,orys,2
69,Season2,otto,85
70,Season4,baelish,157
71,Season5,garth,10
72,Season1,alton,8
73,Season2,ormund,10
74,Season3,bolton,26
75,Season6,osha,35
76,Season6,erryk,1
77,Season4,thenn,7
78,Season4,crane,6
79,Season5,lyman,2
80,Season1,violet,14
81,Season1,stableboy,2
82,Season3,kyra,4
83,Season4,talisa,1
84,Season1,wildling,24
85,Season2,duncan,2
86,Season3,alliser,2
87,Season3,tazal,1
88,Season6,jack,259
89,Season4,copper,1
90,Season5,water,229
91,Season5,beast,128
92,Season5,ramsay,425
93,Season5,nymeria,8
94,Season1,daena,6
95,Season1,selyse,2
96,Season3,savo,32
97,Season3,harker,1
98,Season6,gregor,19
99,Season4,tickler,1
100,Season5,aerys,152
101,Season1,child,276
102,Season1,mance,144
103,Season2,daenerys,139
104,Season3,ray,1181
105,Season6,ralf,4
106,Season5,drogo,401
107,Season5,britt,14
108,Season5,grey,518
109,Season4,three,561
110,Season4,othor,5
111,Season5,baratheon,104
112,Season5,wex,8
113,Season1,morgan,12
114,Season3,balon,7
115,Season3,mira,326
116,Season3,symon,3
117,Season6,bones,65
118,Season6,joanna,3
119,Season4,walter,12
120,Season1,elia,98
121,Season1,qhorin,6
122,Season1,simpson,8
123,Season3,viserys,9
124,Season3,shaggydog,2
125,Season3,damon,7
126,Season3,lyanna,2
127,Season6,morghul,176
128,Season6,brynden,3
129,Season5,rhaegar,12
130,Season1,aron,306
131,Season3,craster,5
132,Season3,aemon,6
133,Season4,steve,43
134,Season4,cotter,1
135,Season1,baelor,234
136,Season1,tortured,2
137,Season2,pyat,2
138,Season6,irri,31
139,Season6,grenn,2
140,Season4,cooper,21
141,Season4,mordane,1
142,Season5,axel,2
143,Season1,aenys,2
144,Season3,shiera,8
145,Season6,jasper,4
146,Season6,janos,1
147,Season4,areo,11
148,Season5,jon,2741
149,Season5,beric,14
150,Season5,danelle,1
151,Season5,tristan,1
152,Season1,monica,16
153,Season2,leaf,4
154,Season2,hugh,18
155,Season4,robar,10
156,Season4,mern,4
157,Season4,torrhen,2
158,Season4,azor,7
159,Season5,frey,2117
160,Season5,wyl,10
161,Season5,harpy,108
162,Season2,summer,356
163,Season3,roose,18
164,Season6,great,1575
165,Season6,clegane,56
166,Season6,amaya,21
167,Season6,maron,21
168,Season4,mero,261
169,Season4,silk,7
170,Season4,meryn,1
171,Season5,akho,24
172,Season5,miller,8
173,Season5,maegor,1
174,Season5,bowen,1
175,Season1,osha,32
176,Season1,erryk,2
177,Season2,barra,51
178,Season2,donnell,2
179,Season2,billy,10
180,Season6,brandon,31
181,Season5,will,5877
182,Season3,jojen,45
183,Season4,catspaw,1
184,Season1,jack,100
185,Season2,doran,14
186,Season3,lann,1344
187,Season4,karsi,3
188,Season1,gregor,10
189,Season3,eddard,31
190,Season3,wun,24
191,Season3,durran,1
192,Season6,red,5137
193,Season6,edgar,7
194,Season4,mag,1661
195,Season4,rogar,1
196,Season6,locke,122
197,Season5,loren,28
198,Season5,renly,20
199,Season5,ygritte,90
200,Season2,silver,70
201,Season3,robin,24
202,Season5,white,1396
203,Season2,mace,2
204,Season3,luwin,1
205,Season6,olly,582
206,Season6,varly,1
207,Season5,tom,2322
208,Season5,karl,9
209,Season2,erik,61
210,Season2,arson,14
211,Season3,emmon,4
212,Season3,rickard,1
213,Season6,oldman,15
214,Season6,edric,6
215,Season4,talia,140
216,Season5,nan,1252
217,Season5,stafford,7
218,Season5,lancel,19
219,Season1,bones,38
220,Season1,joanna,4
221,Season2,soldier,58
222,Season3,lysa,31
223,Season3,martyn,1
224,Season5,lem,2012
225,Season1,morghul,16
226,Season3,nissa,6
227,Season3,jory,10
228,Season4,moro,76
229,Season6,jeor,3
230,Season5,simon,29
231,Season1,irri,80
232,Season2,davos,12
233,Season5,sam,1597
234,Season5,tywin,40
235,Season5,orson,1
236,Season1,lowell,2
237,Season1,jasper,2
238,Season2,spice,8
239,Season3,loras,57
240,Season6,biter,8
241,Season6,pycelle,2
242,Season4,robert,49
243,Season5,hizdahr,2
244,Season2,ch,32110
245,Season3,merchant,21
246,Season6,ludd,6
247,Season4,smiling,18
248,Season5,shepherd,6
249,Season5,waif,23
250,Season1,great,1620
251,Season1,clegane,8
252,Season1,amaya,10
253,Season1,maron,6
254,Season2,petyr,2
255,Season2,stiv,10
256,Season3,polliver,2
257,Season6,high,513
258,Season6,lady,459
259,Season6,smitty,3
260,Season6,damien,6
261,Season1,brandon,12
262,Season2,elissa,64
263,Season6,yoren,1
264,Season6,mirri,2
265,Season4,dornish,9
266,Season4,walda,34
267,Season4,elyo,2
268,Season6,margaery,164
269,Season6,ethan,35
270,Season4,theon,1878
271,Season5,styr,8
272,Season2,shae,25
273,Season3,ros,5904
274,Season6,septon,3
275,Season4,walder,4
276,Season5,nights,937
277,Season1,red,2275
278,Season1,edgar,14
279,Season3,robb,497
280,Season3,alys,115
281,Season6,hodor,683
282,Season6,rickon,84
283,Season4,catelyn,34
284,Season4,aggar,7
285,Season5,harlen,3
286,Season1,locke,233
287,Season3,xaro,1
288,Season4,lastdragon,2
289,Season3,joffrey,798
290,Season3,kevan,1
291,Season6,rast,137
292,Season6,stannis,81
293,Season4,master,231
294,Season4,arthur,7
295,Season5,baelish,38
296,Season1,olly,332
297,Season2,orys,2
298,Season3,otto,132
299,Season6,rorge,3
300,Season5,thenn,13
301,Season5,crane,7
302,Season1,edric,4
303,Season1,oldman,2
304,Season2,alton,13
305,Season3,ormund,93
306,Season6,harren,6
307,Season4,bolton,15
308,Season4,lommy,23
309,Season5,talisa,4
310,Season2,violet,12
311,Season3,oswell,2
312,Season6,lyman,3
313,Season4,kyra,3
314,Season5,copper,21
315,Season2,wildling,133
316,Season3,duncan,10
317,Season6,royce,1
318,Season5,tickler,4
319,Season5,horned,2
320,Season2,daena,8
321,Season6,water,230
322,Season6,ramsay,310
323,Season6,beast,106
324,Season6,nymeria,28
325,Season4,savo,19
326,Season4,waymar,1
327,Season2,child,325
328,Season2,mance,140
329,Season3,daenerys,697
330,Season3,loboda,1
331,Season3,tansy,2
332,Season3,oberyn,65
333,Season6,aerys,241
334,Season6,matthos,1
335,Season6,elaena,1
336,Season4,ray,802
337,Season5,three,507
338,Season5,othor,1
339,Season1,pycelle,2
340,Season1,biter,2
341,Season6,drogo,442
342,Season6,grey,400
343,Season6,britt,28
344,Season4,arryk,1
345,Season5,karstark,1
346,Season2,morgan,8
347,Season6,baratheon,166
348,Season6,wex,7
349,Season4,balon,8
350,Season1,lady,285
351,Season1,high,442
352,Season1,smitty,2
353,Season1,damien,2
354,Season3,serena,5
355,Season3,aegon,2
356,Season4,mira,260
357,Season5,walter,3
358,Season4,rhaenys,1
359,Season4,symon,1
360,Season1,ethan,40
361,Season2,simpson,26
362,Season2,elia,72
363,Season6,artys,5
364,Season6,aemma,1
365,Season4,viserys,13
366,Season4,damon,3
367,Season4,lyanna,8
368,Season4,shaggydog,3
369,Season5,steve,56
370,Season5,cotter,2
371,Season2,aron,167
372,Season6,rhaegar,42
373,Season4,aemon,4
374,Season4,craster,11
375,Season5,cooper,16
376,Season5,mordane,1
377,Season1,hodor,92
378,Season1,rickon,12
379,Season2,baelor,10
380,Season2,tortured,8
381,Season3,pyat,1
382,Season5,areo,11
383,Season2,aenys,7
384,Season6,axel,3
385,Season4,shiera,1
