,GOTSeason,GOTCharacter,DeadCount
0,Season3,moro,2
1,Season6,wildling,7
2,Season4,lem,62
3,Season6,daena,1
4,Season6,child,30
5,Season6,mance,2
6,Season5,biter,1
7,Season3,robert,3
8,Season4,sam,41
9,Season4,tywin,8
10,Season1,ch,932
11,Season3,smiling,4
12,Season6,morgan,2
13,Season5,high,25
14,Season5,lady,5
15,Season3,walda,1
16,Season5,margaery,4
17,Season3,theon,42
18,Season6,elia,10
19,Season2,ros,64
20,Season6,aron,9
21,Season5,hodor,8
22,Season5,rickon,2
23,Season2,robb,11
24,Season2,alys,4
25,Season3,catelyn,6
26,Season4,nights,17
27,Season6,tortured,1
28,Season5,rast,2
29,Season5,stannis,23
30,Season2,joffrey,47
31,Season3,master,7
32,Season2,otto,4
33,Season4,baelish,1
34,Season1,alton,2
35,Season3,bolton,1
36,Season6,osha,1
37,Season1,wildling,4
38,Season6,jack,3
39,Season5,ramsay,20
40,Season5,water,13
41,Season5,beast,5
42,Season5,aerys,5
43,Season1,child,18
44,Season1,mance,6
45,Season2,daenerys,4
46,Season3,ray,41
47,Season5,grey,36
48,Season5,drogo,9
49,Season5,britt,1
50,Season4,three,17
51,Season3,mira,6
52,Season1,elia,2
53,Season1,simpson,4
54,Season6,morghul,24
55,Season1,aron,6
56,Season4,steve,1
57,Season1,tortured,2
58,Season1,baelor,10
59,Season6,irri,1
60,Season5,jon,199
61,Season4,mern,2
62,Season4,robar,1
63,Season5,frey,213
64,Season5,harpy,1
65,Season2,summer,8
66,Season6,great,40
67,Season6,maron,1
68,Season3,roose,1
69,Season5,akho,1
70,Season2,barra,4
71,Season6,brandon,2
72,Season5,will,427
73,Season3,jojen,6
74,Season1,jack,2
75,Season2,doran,2
76,Season3,lann,43
77,Season3,eddard,5
78,Season3,wun,2
79,Season6,red,169
80,Season4,mag,37
81,Season6,locke,8
82,Season5,ygritte,4
83,Season5,renly,4
84,Season5,loren,3
85,Season2,silver,2
86,Season5,white,97
87,Season3,luwin,1
88,Season6,olly,23
89,Season5,tom,56
90,Season6,oldman,1
91,Season5,nan,50
92,Season2,soldier,58
93,Season5,lem,69
94,Season3,nissa,1
95,Season5,simon,2
96,Season1,irri,2
97,Season5,sam,76
98,Season5,tywin,2
99,Season4,robert,2
100,Season2,ch,755
101,Season5,waif,1
102,Season1,great,46
103,Season6,lady,21
104,Season6,high,23
105,Season6,damien,1
106,Season2,elissa,2
107,Season6,ethan,2
108,Season4,theon,145
109,Season6,margaery,3
110,Season5,styr,1
111,Season2,shae,4
112,Season3,ros,143
113,Season6,septon,1
114,Season5,nights,27
115,Season1,red,78
116,Season3,robb,20
117,Season3,alys,1
118,Season6,hodor,20
119,Season4,catelyn,4
120,Season6,rickon,4
121,Season3,joffrey,58
122,Season6,rast,4
123,Season6,stannis,5
124,Season4,master,2
125,Season1,olly,10
126,Season3,otto,5
127,Season3,ormund,2
128,Season4,lommy,1
129,Season5,talisa,1
130,Season5,copper,2
131,Season2,wildling,2
132,Season6,water,6
133,Season6,beast,4
134,Season6,ramsay,15
135,Season2,child,22
136,Season2,mance,4
137,Season3,daenerys,16
138,Season6,aerys,12
139,Season4,ray,27
140,Season5,three,19
141,Season6,grey,14
142,Season6,drogo,8
143,Season4,arryk,1
144,Season6,baratheon,2
145,Season1,high,8
146,Season1,lady,14
147,Season4,mira,2
148,Season1,ethan,2
149,Season2,elia,2
150,Season2,simpson,2
151,Season4,viserys,1
152,Season2,aron,6
153,Season4,aemon,1
154,Season5,cooper,1
155,Season1,hodor,4
156,Season1,rickon,2
157,Season2,tortured,2
158,Season1,rast,2
159,Season1,stannis,2
160,Season3,barristan,1
161,Season3,hugh,1
162,Season6,jon,319
163,Season5,mero,5
164,Season5,meryn,1
165,Season3,summer,7
166,Season6,frey,116
167,Season6,harpy,2
168,Season3,barra,5
169,Season6,will,477
170,Season1,royce,2
171,Season3,doran,1
172,Season4,lann,61
173,Season5,mag,83
174,Season5,myrcella,2
175,Season1,water,12
176,Season4,wun,2
177,Season1,drogo,26
178,Season3,silver,1
179,Season6,ygritte,3
180,Season6,loren,1
181,Season4,robin,2
182,Season1,baratheon,2
183,Season3,mace,1
184,Season6,white,48
185,Season5,talia,3
186,Season3,erik,1
187,Season6,tom,107
188,Season2,bones,14
189,Season3,soldier,108
190,Season6,nan,27
191,Season4,lysa,3
192,Season5,moro,4
193,Season2,morghul,10
194,Season6,lem,55
195,Season5,robert,3
196,Season6,sam,43
197,Season3,spice,1
198,Season6,tywin,1
199,Season5,smiling,1
200,Season1,jon,8
201,Season3,ch,1717
202,Season1,frey,210
203,Season2,great,30
204,Season3,stiv,2
205,Season4,polliver,1
206,Season6,waif,13
207,Season5,dornish,2
208,Season3,elissa,3
209,Season5,theon,50
210,Season1,will,140
211,Season4,ros,152
212,Season2,red,58
213,Season6,nights,13
214,Season4,robb,12
215,Season4,alys,5
216,Season2,locke,4
217,Season5,master,4
218,Season1,loren,2
219,Season1,renly,2
220,Season4,joffrey,232
221,Season1,white,16
222,Season2,olly,7
223,Season4,otto,2
224,Season5,bolton,5
225,Season1,tom,22
226,Season4,ormund,1
227,Season1,nan,26
228,Season1,lem,32
229,Season3,wildling,6
230,Season3,daena,2
231,Season5,ray,69
232,Season1,simon,2
233,Season3,child,28
234,Season3,mance,3
235,Season4,daenerys,12
236,Season4,oberyn,17
237,Season1,sam,26
238,Season6,three,14
239,Season3,morgan,1
240,Season5,mira,5
241,Season2,high,8
242,Season2,lady,8
243,Season2,yoren,4
244,Season2,margaery,2
245,Season3,elia,9
246,Season3,simpson,1
247,Season3,aron,14
248,Season6,steve,1
249,Season1,nights,16
250,Season3,aenys,5
251,Season6,areo,1
252,Season2,rast,4
253,Season6,mern,1
254,Season6,robar,1
255,Season6,mero,6
256,Season4,summer,2
257,Season2,harren,4
258,Season2,norren,2
259,Season5,jojen,1
260,Season5,lann,17
261,Season3,jack,7
262,Season5,eddard,3
263,Season5,wun,3
264,Season2,water,14
265,Season6,mag,71
