,GOTSeason,GOTCharacter,OverallCount,NeutralCount,PositiveCount,NegativeCount
0,Season3,moro,-9.4148514911,39,40,42
1,Season6,wildling,6.75977564103,61,35,19
2,Season4,lem,119.960154221,1347,555,302
3,Season5,jeor,0.2,1,1,1
4,Season6,daena,2.89494949495,27,11,1
5,Season1,davos,0.0,2,0,0
6,Season6,child,33.1143362193,172,160,96
7,Season6,mance,52.8690909091,75,132,29
8,Season4,simon,-20.2051515152,19,20,74
9,Season5,biter,3.475,27,11,4
10,Season1,spice,2.2,0,6,0
11,Season2,loras,-0.85,2,4,2
12,Season3,robert,-14.5927122415,167,46,86
13,Season4,sam,72.6388696489,561,379,188
14,Season4,tywin,8.70905483405,71,36,13
15,Season4,orson,0.625,0,2,0
16,Season5,ludd,0.0,2,0,0
17,Season1,ch,3114.83030496,13514,12890,5658
18,Season3,smiling,2.43385040885,9,12,10
19,Season6,morgan,3.55208333333,23,9,2
20,Season4,hizdahr,0.0,3,0,0
21,Season5,high,79.7648659812,177,441,133
22,Season5,lady,25.9667257511,226,169,93
23,Season5,damien,0.5,0,1,0
24,Season5,smitty,0.0,1,0,0
25,Season1,stiv,1.96428571429,54,16,14
26,Season1,petyr,1.07142857143,0,4,2
27,Season2,polliver,0.0,2,0,0
28,Season4,shepherd,1.0,2,2,0
29,Season4,waif,0.05,0,1,0
30,Season1,elissa,5.15,14,8,2
31,Season3,walda,1.66136363636,15,9,4
32,Season3,elyo,0.85,8,2,0
33,Season3,dornish,0.1,5,1,1
34,Season3,doreah,0.0,1,0,0
35,Season5,margaery,7.18695887446,133,28,12
36,Season5,ethan,-0.507142857143,16,7,14
37,Season3,theon,-8.71162584175,613,293,349
38,Season6,elia,6.25534511785,88,19,3
39,Season6,simpson,0.0694444444444,11,1,0
40,Season5,septon,0.0454545454545,1,1,0
41,Season1,shae,2.54444444444,2,6,0
42,Season2,ros,190.028465608,1801,821,404
43,Season3,walder,-3.04583333333,10,2,8
44,Season6,aron,-1.95952380952,321,24,27
45,Season4,styr,0.871428571429,1,5,0
46,Season5,gordy,0.0,1,0,0
47,Season5,hodor,-39.0739592352,124,53,163
48,Season5,rickon,-1.4,5,0,6
49,Season2,alys,4.95,18,10,10
50,Season2,robb,-0.95726010101,62,60,73
51,Season3,catelyn,-1.51046626984,33,18,23
52,Season3,aggar,-0.154166666667,7,1,1
53,Season6,tortured,-0.602777777778,3,5,4
54,Season6,baelor,-0.243055555556,3,0,1
55,Season4,nights,57.4739219577,312,321,172
56,Season2,xaro,0.0,2,0,0
57,Season3,dongo,1.96666666667,4,5,0
58,Season3,lastdragon,0.0,2,0,0
59,Season4,harlen,1.0,2,1,0
60,Season6,aenys,0.0,1,0,0
61,Season5,stannis,0.0289195526696,249,95,98
62,Season5,rast,3.87398989899,71,32,30
63,Season2,joffrey,-10.6662872775,253,96,106
64,Season3,master,131.553322418,142,224,30
65,Season3,arthur,-3.53333333333,15,2,12
66,Season6,monica,0.15,10,1,0
67,Season5,rorge,0.0,1,0,0
68,Season1,orys,0.0,2,0,0
69,Season2,otto,0.124458874459,52,14,19
70,Season4,baelish,9.18191919192,73,49,35
71,Season5,garth,0.627171717172,2,6,2
72,Season1,alton,1.2,6,2,0
73,Season2,ormund,2.75,4,6,0
74,Season3,bolton,-1.07348484848,15,5,6
75,Season6,osha,3.21515151515,23,9,3
76,Season6,erryk,0.0,1,0,0
77,Season4,thenn,-0.7,4,1,2
78,Season4,crane,0.0,6,0,0
79,Season5,lyman,0.0,2,0,0
80,Season1,violet,-0.4,8,4,2
81,Season1,stableboy,-0.05,0,0,2
82,Season3,kyra,0.0,4,0,0
83,Season4,talisa,0.0,1,0,0
84,Season1,wildling,2.26666666667,12,8,4
85,Season2,duncan,0.0,2,0,0
86,Season3,alliser,-0.8,0,0,2
87,Season3,tazal,0.2,0,1,0
88,Season6,jack,0.0502597402597,196,31,32
89,Season4,copper,-0.4,0,0,1
90,Season5,water,6.49799242424,101,72,56
91,Season5,beast,4.84077380952,80,29,19
92,Season5,ramsay,-23.584208153,213,80,132
93,Season5,nymeria,1.85,3,5,0
94,Season1,daena,0.0,6,0,0
95,Season1,selyse,0.0,2,0,0
96,Season3,savo,0.9,27,3,2
97,Season3,harker,0.0,1,0,0
98,Season6,gregor,0.846590909091,12,3,4
99,Season4,tickler,0.0,1,0,0
100,Season5,aerys,8.47959054834,95,40,17
101,Season1,child,-2.51765512266,108,88,80
102,Season1,mance,40.7735714286,28,90,26
103,Season2,daenerys,25.5590277778,76,53,10
104,Season3,ray,76.7506842232,548,421,212
105,Season6,ralf,0.0,4,0,0
106,Season5,drogo,17.3757350289,278,75,48
107,Season5,britt,2.91904761905,5,8,1
108,Season5,grey,7.96803162578,260,127,131
109,Season4,three,42.2534596819,187,240,134
110,Season4,othor,1.03333333333,3,2,0
111,Season5,,1513.34820247,128468,52276,57876
112,Season5,baratheon,5.26666666667,71,21,12
113,Season5,wex,0.575,6,2,0
114,Season1,morgan,1.73333333333,6,6,0
115,Season3,balon,0.5,6,1,0
116,Season3,mira,11.3216317016,255,43,28
117,Season3,symon,1.31818181818,1,2,0
118,Season6,bones,-1.37281746032,19,11,35
119,Season6,joanna,0.95,1,2,0
120,Season4,walter,0.833333333333,5,3,4
121,Season1,elia,12.125472583,32,46,20
122,Season1,qhorin,2.2,0,6,0
123,Season1,simpson,-0.1,4,0,4
124,Season3,viserys,1.04166666667,2,4,3
125,Season3,shaggydog,0.8,1,1,0
126,Season3,damon,1.42333333333,5,2,0
127,Season3,lyanna,-0.2,1,0,1
128,Season6,morghul,3.51881914382,139,22,15
129,Season6,brynden,0.0,3,0,0
130,Season5,rhaegar,0.65,4,5,3
131,Season1,aron,-8.9875,210,28,68
132,Season3,craster,-0.4,4,0,1
133,Season3,aemon,-0.0833333333333,3,2,1
134,Season4,steve,1.90982142857,31,8,4
135,Season4,cotter,-0.2,0,0,1
136,Season1,baelor,5.66386363636,106,72,56
137,Season1,tortured,-0.25,0,0,2
138,Season2,pyat,0.0,2,0,0
139,Season6,irri,1.66130952381,17,10,4
140,Season6,grenn,-0.4,1,0,1
141,Season4,cooper,1.8,18,3,0
142,Season4,mordane,0.0,1,0,0
143,Season5,axel,0.5,1,1,0
144,Season1,aenys,-0.333333333333,0,0,2
145,Season3,shiera,0.0,8,0,0
146,Season6,jasper,0.0,4,0,0
147,Season6,janos,0.0,1,0,0
148,Season4,areo,-2.0,8,0,3
149,Season5,jon,69.2842544724,1700,589,452
150,Season5,beric,-0.2,13,0,1
151,Season5,danelle,0.0,1,0,0
152,Season5,tristan,0.161904761905,0,1,0
153,Season1,monica,1.75844155844,6,8,2
154,Season2,leaf,1.0,2,2,0
155,Season2,hugh,1.94285714286,8,8,2
156,Season4,robar,-1.0,9,0,1
157,Season4,mern,-0.375,2,1,1
158,Season4,torrhen,0.0,2,0,0
159,Season4,azor,1.075,2,3,2
160,Season5,frey,-116.303049784,820,528,769
161,Season5,wyl,2.2,6,4,0
162,Season5,harpy,7.00247715248,51,34,23
163,Season2,summer,26.0534848485,159,117,80
164,Season3,roose,3.61553030303,7,10,1
165,Season6,great,747.69803562,90,1333,152
166,Season6,clegane,2.26386363636,30,18,8
167,Season6,amaya,1.3,11,9,1
168,Season6,maron,-0.1,20,0,1
169,Season4,mero,3.75561417749,211,28,22
170,Season4,silk,0.5,6,1,0
171,Season4,meryn,0.0,1,0,0
172,Season5,akho,0.7,22,2,0
