,TweetDate,_c1
0,20140508,78
1,20140509,26
2,20160606,31
3,20150805,1
4,20160607,22
5,20130430,45
6,20160608,34
7,20160609,2
8,20110830,18
9,20160330,12
10,20150530,13
11,20110831,2
12,20160331,7
13,20150531,3
14,20140730,2
15,20120520,8
16,20141013,1
17,20160220,12
18,20150420,93
19,20160221,9
20,20150421,43
21,20110722,24
22,20160222,12
23,20140620,11
24,20150422,78
25,20110723,12
26,20160223,11
27,20140621,9
28,20150423,54
29,20110724,10
30,20160224,11
31,20141018,1
32,20140622,14
33,20150424,16
34,20110725,2
35,20160225,15
36,20140623,9
37,20110726,6
38,20160226,11
39,20150920,1
40,20140624,4
41,20150426,8
42,20110727,4
43,20111005,2
44,20120410,56
45,20160227,9
46,20140625,1
47,20150427,21
48,20110728,6
49,20110610,10
50,20111006,14
51,20160228,9
52,20160110,11
53,20150428,46
54,20110729,18
55,20110611,4
56,20111007,10
57,20160229,8
58,20160111,14
59,20150429,68
60,20110612,24
61,20111008,16
62,20120413,5
63,20160112,7
64,20140510,43
65,20110613,14
66,20111009,6
67,20160113,5
68,20140511,64
69,20110614,240
70,20120415,4
71,20160114,13
72,20140512,38
73,20130711,1
74,20110615,80
75,20120416,31
76,20160115,7
77,20140513,160
78,20160610,41
79,20120417,36
80,20160116,9
81,20140514,72
82,20160611,16
83,20151206,1
84,20110617,8
85,20120418,16
86,20160117,5
87,20140515,75
88,20160612,2
89,20130714,1
90,20150811,1
91,20110618,34
92,20120419,2
93,20160118,4
94,20140516,65
95,20160613,8
96,20110619,42
97,20160119,7
98,20140517,25
99,20160614,74
100,20140518,25
101,20160615,3
102,20150814,2
103,20150319,4
104,20140519,89
105,20160616,8
106,20130718,1
107,20150815,1
108,20160617,33
109,20160618,8
110,20140404,3
111,20160619,16
112,20130603,5
113,20140405,37
114,20130604,6
115,20160502,3
116,20140406,1
117,20160504,1
118,20130607,137
119,20140408,102
120,20160505,35
121,20130608,178
122,20140409,57
123,20160506,2
124,20130609,165
125,20160507,19
126,20140905,1
127,20160508,13
128,20120530,54
129,20150708,1
130,20160509,3
131,20110730,4
132,20120531,24
133,20150430,44
134,20120420,40
135,20110620,32
136,20160120,19
137,20110621,74
138,20160121,17
139,20131114,1
140,20110622,80
141,20160122,9
142,20140520,208
143,20110623,22
144,20111019,8
145,20120424,84
146,20160123,34
147,20140521,38
148,20120425,67
149,20160124,20
